,"Posting a "help-wanted" sign on the storefront of the location","153,305A","131,895A","98,735A","112,075A","87,955A"
,"Company website","198,270A","174,285A","133,095A","151,965A","129,190A"
,"Online job boards","259,590A","216,335A","176,040A","197,315A","175,870A"
,"Social media","205,945A","165,665A","136,195A","158,595A","124,540A"
,"Job or recruitment fairs at schools, colleges or universities","70,505A","62,710A","54,250A","67,210A","45,495A"
,"Government employment centre or website","82,500A","65,565A","63,190A","68,655A","54,135A"
,"Professional networking, headhunters or employment agency","57,375A","46,180A","43,420A","44,125A","36,390B"
,"Newspaper ads","27,760A","22,090B","17,720B","23,560B","17,995B"
,"Other recruitment strategies","35,105B","25,570B","26,880A","30,785B","22,165B"
"Trades, transport and equipment operators and related occupations  [7]","Recruitment strategies, all types 7","180,335A","150,375A","140,625A","149,710A","139,585A"
,"Personal contacts, referrals, informal networks","140,420A","116,320A","104,165A","111,975A","105,925A"
,"Posting a "help-wanted" sign on the storefront of the location","37,345A","32,790A","30,330B","28,130B","29,185B"
,"Company website","79,725A","69,635A","65,050A","68,645A","59,570A"
,"Online job boards","129,940A","110,295A","104,685A","110,585A","106,770A"
,"Social media","106,075A","89,485A","81,100A","85,350A","76,220A"
,"Job or recruitment fairs at schools, colleges or universities","30,650A","30,330A","32,245B","31,070A","28,880A"
,"Government employment centre or website","41,175A","38,695A","34,305B","35,445A","33,045B"
,"Professional networking, headhunters or employment agency","38,050A","32,275A","29,890B","29,725A","27,015B"
,"Newspaper ads","20,040B","16,625B","17,125B","12,700B","11,795B"
,"Other recruitment strategies","23,370B","18,525B","16,665B","16,365B","15,560B"
"Natural resources, agriculture and related production occupations  [8]","Recruitment strategies, all types 7","24,120B","16,180A","17,755A","23,805A","16,070B"
,"Personal contacts, referrals, informal networks","18,850B","12,130B","13,065B","17,080B","12,035B"
,"Posting a "help-wanted" sign on the storefront of the location","4,150B","3,165C","2,830C","3,640C","2,170D"
,"Company website","9,605B","5,700B","7,125B","8,070B","5,445B"
,"Online job boards","16,810B","11,545B","12,585B","16,625B","10,825B"
,"Social media","14,285B","8,890B","9,635B","11,840B","8,715B"
,"Job or recruitment fairs at schools, colleges or universities","3,720B","2,485B","3,655B","3,525B","1,845B"
,"Government employment centre or website","6,230B","4,240B","5,675B","6,805B","3,530C"
,"Professional networking, headhunters or employment agency","3,130C","1,945C","2,015C","2,440C","1,855D"
,"Newspaper ads","3,670D","2,450C","2,635C","2,465C","1,560D"
,"Other recruitment strategies","3,155C","2,010C","2,125C","1,985C","1,760D"
"Occupations in manufacturing and utilities  [9]","Recruitment strategies, all types 7","51,245A","41,475A","33,040A","32,965A","28,900A"
,"Personal contacts, referrals, informal networks","41,245A","33,350A","26,135A","24,815A","22,435A"
,"Posting a "help-wanted" sign on the storefront of the location","17,265A","13,595A","10,260A","9,010B","7,715B"
,"Company website","31,030A","25,175A","20,095A","19,140A","17,960B"
,"Online job boards","42,835A","34,980A","28,280A","27,065A","23,540A"
,"Social media","31,530A","23,455A","19,430A","18,865A","15,655A"
,"Job or recruitment fairs at schools, colleges or universities","16,735B","13,610A","11,765A","10,630A","9,050B"
,"Government employment centre or website","19,965A","15,950A","11,415A","10,145A","8,840B"
,"Professional networking, headhunters or employment agency","19,190A","15,950B","12,500A","10,080B","9,030B"
,"Newspaper ads","9,745B","7,465B","5,330B","4,075B","4,015B"
,"Other recruitment strategies","5,975B","6,325B","4,905B","4,075B","3,325B"
"Unclassified occupations 8","Recruitment strategies, all types 7","3,380C","F","F","F","F"
,"Personal contacts, referrals, informal networks","3,215C","F","F","F","F"
,"Posting a "help-wanted" sign on the storefront of the location","170E","F","F","F","F"
,"Company website","3,160D","F","F","F","F"
,"Online job boards","3,290C","F","F","F","F"
,"Social media","3,110D","F","F","F","F"
,"Job or recruitment fairs at schools, colleges or universities","2,875D","F","F","F","F"
,"Government employment centre or website","270D","F","F","F","F"
,"Professional networking, headhunters or employment agency","2,915D","F","F","F","F"
,"Newspaper ads","F","F","F","F","F"
,"Other recruitment strategies","150C","F","F","F","F"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"This table has been archived and replaced by table 14-10-0443-01."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"Occupation estimates are based on the <a href="https://www.statcan.gc.ca/eng/subjects/standard/noc/2016/indexV1.3">National Occupational Classification (NOC) 2016</a>."
6,"Includes ‘Unclassified occupations'. Previously released data for the first quarter of 2015 excluded this category."
8,"Improvements were made to the occupation coding procedures starting in the second quarter of 2017. This has resulted in a decrease in the number of vacancies for which the occupation is unclassified. The new coding procedures do not affect the total number of vacancies."
7,"Recruitment strategies are methods used by the employer to fill the job vacancy. Employers can report multiple strategies."



"How to cite: Statistics Canada. Table 14-10-0328-08  Job vacancies and proportion of job vacancies by occupation and recruitment strategies, quarterly, unadjusted for seasonality, inactive"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032808
