"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"AARADHYA","..","..","..","23","1,059","0.0165"
"AARALYN","..","..","..","..","..",".."
"AARAN","7","2,348","0.0046","..","..",".."
"AARAV","134","238","0.0887","..","..",".."
"AARAVI","..","..","..","..","..",".."
"AAREN","8","2,136","0.0053","..","..",".."
"AARIA","..","..","..","9","2,160","0.0064"
"AARIB","..","..","..","..","..",".."
"AARIC","..","..","..","..","..",".."
"AARIK","..","..","..","..","..",".."
"AARIKA","..","..","..","..","..",".."
"AARIN","11","1,696","0.0073","..","..",".."
"AARISH","6","2,614","0.0040","..","..",".."
"AARIV","67","428","0.0444","..","..",".."
"AARIYA","..","..","..","..","..",".."
"AARIYAH","..","..","..","..","..",".."
"AARIYAN","..","..","..","..","..",".."
"AARIZ","49","554","0.0324","..","..",".."
"AARNA","..","..","..","59","487","0.0422"
"AARNAV","6","2,614","0.0040","..","..",".."
"AAROHI","..","..","..","13","1,645","0.0093"
"AARON","272","114","0.1801","..","..",".."
"AARSH","..","..","..","..","..",".."
"AARTI","..","..","..","..","..",".."
"AARUSH","42","635","0.0278","..","..",".."
"AARUSHAN","..","..","..","..","..",".."
"AARUSHI","..","..","..","..","..",".."
"AARVI","..","..","..","25","998","0.0179"
"AARVIK","9","1,963","0.0060","..","..",".."
"AARVIN","..","..","..","..","..",".."
"AARYA","5","2,931","0.0033","64","448","0.0458"
"AARYAN","37","696","0.0245","..","..",".."
"AARYAV","..","..","..","..","..",".."
"AARYN","..","..","..","..","..",".."
"AARZA","..","..","..","13","1,645","0.0093"
"AASHA","..","..","..","..","..",".."
"AASHI","..","..","..","..","..",".."
"AASHIR","..","..","..","..","..",".."
"AASHNA","..","..","..","..","..",".."
"AASHVI","..","..","..","35","772","0.0250"
"AASIM","..","..","..","..","..",".."
"AASIYA","..","..","..","..","..",".."
"AASIYAH","..","..","..","5","3,197","0.0036"
"AASTHA","..","..","..","..","..",".."
"AATHAVAN","..","..","..","..","..",".."
"AATHIRA","..","..","..","7","2,557","0.0050"
"AATHIRAN","13","1,505","0.0086","..","..",".."
"AAVIR","7","2,348","0.0046","..","..",".."
"AAVYA","..","..","..","21","1,136","0.0150"
"AAVYAN","10","1,815","0.0066","..","..",".."
"AAYAAN","..","..","..","..","..",".."
"AAYAH","..","..","..","..","..",".."
"AAYAN","24","982","0.0159","..","..",".."
"AAYANSH","17","1,244","0.0113","..","..",".."
"AAYAT","..","..","..","28","912","0.0200"
"AAYDEN","..","..","..","..","..",".."
"AAYLA","..","..","..","6","2,824","0.0043"
"AAYRA","..","..","..","26","976","0.0186"
"AAYUSH","5","2,931","0.0033","..","..",".."
"ABAGAIL","..","..","..","..","..",".."
"ABAGAYLE","..","..","..","..","..",".."
"ABAN","..","..","..","..","..",".."
"ABANOUB","..","..","..","..","..",".."
"ABARNA","..","..","..","..","..",".."
"ABBAGAIL","..","..","..","..","..",".."
"ABBAS","28","860","0.0185","..","..",".."
"ABBEY","..","..","..","..","..",".."
"ABBEYGAIL","..","..","..","..","..",".."
"ABBI","..","..","..","..","..",".."
"ABBIE","..","..","..","16","1,398","0.0114"
"ABBIGAEL","..","..","..","..","..",".."
"ABBIGAIL","..","..","..","7","2,557","0.0050"
"ABBIGALE","..","..","..","..","..",".."
"ABBIGAYLE","..","..","..","..","..",".."
"ABBOTT","..","..","..","..","..",".."
"ABBY","..","..","..","110","258","0.0787"
"ABBYGAEL","..","..","..","6","2,824","0.0043"
"ABBYGAELLE","..","..","..","8","2,326","0.0057"
"ABBY-GAELLE","..","..","..","..","..",".."
"ABBYGAIL","..","..","..","8","2,326","0.0057"
"ABBYGALE","..","..","..","..","..",".."
"ABBYGAYLE","..","..","..","..","..",".."
"ABD","..","..","..","..","..",".."
"ABDALLA","..","..","..","..","..",".."
"ABDALLAH","14","1,430","0.0093","..","..",".."
"ABDEL","..","..","..","..","..",".."
"ABDELAZIZ","..","..","..","..","..",".."
"ABDELHAKIM","..","..","..","..","..",".."
"ABDELKADER","..","..","..","..","..",".."
"ABDELLAH","..","..","..","..","..",".."
"ABDELMALEK","..","..","..","..","..",".."
"ABDELRAHMAN","..","..","..","..","..",".."
"ABDERAHMANE","..","..","..","..","..",".."
"ABDERRAHIM","..","..","..","..","..",".."
"ABDERRAHMAN","..","..","..","..","..",".."
"ABDERRAHMANE","..","..","..","..","..",".."
"ABDI","..","..","..","..","..",".."
"ABDIEL","..","..","..","..","..",".."
"ABDIFATAH","..","..","..","..","..",".."
"ABDILLAHI","..","..","..","..","..",".."
"ABDIMALIK","..","..","..","..","..",".."
"ABDIRAHMAN","10","1,815","0.0066","..","..",".."
"ABDOU","5","2,931","0.0033","..","..",".."
"ABDOUL","5","2,931","0.0033","..","..",".."
"ABDOULAYE","19","1,158","0.0126","..","..",".."
"ABDUL","59","479","0.0391","..","..",".."
"ABDULAHI","..","..","..","..","..",".."
"ABDULAZIZ","9","1,963","0.0060","..","..",".."
"ABDULHADI","..","..","..","..","..",".."
"ABDULKADIR","..","..","..","..","..",".."
"ABDULLA","..","..","..","..","..",".."
"ABDULLAH","105","300","0.0695","..","..",".."
"ABDULLAHI","10","1,815","0.0066","..","..",".."
"ABDULMALIK","..","..","..","..","..",".."
"ABDULRAHMAN","24","982","0.0159","..","..",".."
"ABDUL-RAHMAN","..","..","..","..","..",".."
"ABDULREHMAN","..","..","..","..","..",".."
"ABDUR","6","2,614","0.0040","..","..",".."
"ABDURAHMAN","5","2,931","0.0033","..","..",".."
"ABDURRAHMAN","11","1,696","0.0073","..","..",".."
"ABDUR-RAHMAN","..","..","..","..","..",".."
"ABE","9","1,963","0.0060","..","..",".."
"ABED","..","..","..","..","..",".."
"ABEEHA","..","..","..","13","1,645","0.0093"
"ABEER","35","725","0.0232","..","..",".."
"ABEERA","..","..","..","..","..",".."
"ABEGAIL","..","..","..","..","..",".."
"ABEL","107","293","0.0708","..","..",".."
"ABELLA","..","..","..","..","..",".."
"ABELLE","..","..","..","..","..",".."
"ABENA","..","..","..","..","..",".."
"ABERDEEN","..","..","..","..","..",".."
"ABHAY","5","2,931","0.0033","..","..",".."
"ABHI","..","..","..","..","..",".."
"ABHIJEET","..","..","..","..","..",".."
"ABHIJIT","..","..","..","..","..",".."
"ABHIJOT","..","..","..","..","..",".."
"ABHIMANYU","..","..","..","..","..",".."
"ABHINAV","..","..","..","..","..",".."
"ABHIRAJ","6","2,614","0.0040","..","..",".."
"ABHIRAM","7","2,348","0.0046","..","..",".."
"ABHIROOP","..","..","..","..","..",".."
"ABHISHEK","..","..","..","..","..",".."
"ABI","..","..","..","..","..",".."
"ABIA","..","..","..","..","..",".."
"ABID","..","..","..","..","..",".."
"ABIE","..","..","..","..","..",".."
"ABIEL","..","..","..","..","..",".."
"ABIFOLUWA","..","..","..","..","..",".."
"ABIGAEL","..","..","..","40","683","0.0286"
"ABIGAELLE","..","..","..","83","349","0.0594"
"ABIGAIL","..","..","..","608","25","0.4350"
"ABIGAILE","..","..","..","..","..",".."
"ABIGALE","..","..","..","..","..",".."
"ABIGAYL","..","..","..","..","..",".."
"ABIGAYLE","..","..","..","..","..",".."
"ABIHA","..","..","..","10","1,992","0.0072"
"ABILASH","..","..","..","..","..",".."
"ABILENE","..","..","..","7","2,557","0.0050"
"ABINA","..","..","..","..","..",".."
"ABINASH","..","..","..","..","..",".."
"ABINAYA","..","..","..","..","..",".."
"ABINER","7","2,348","0.0046","..","..",".."
"ABIR","29","837","0.0192","..","..",".."
"ABIRA","..","..","..","..","..",".."
"ABIRAMI","..","..","..","..","..",".."
"ABISHA","..","..","..","..","..",".."
"ABISHAA","..","..","..","..","..",".."
"ABISHAN","..","..","..","..","..",".."
"ABISHEK","..","..","..","..","..",".."
"ABNER","13","1,505","0.0086","..","..",".."
"ABOUBACAR","7","2,348","0.0046","..","..",".."
"ABRAHAM","58","486","0.0384","..","..",".."
"ABRAHIM","..","..","..","..","..",".."
"ABRAM","25","947","0.0166","..","..",".."
"ABRAR","9","1,963","0.0060","..","..",".."
"ABRIANA","..","..","..","..","..",".."
"ABRIANNA","..","..","..","..","..",".."
"ABRIEL","..","..","..","..","..",".."
"ABRIELLA","..","..","..","..","..",".."
"ABRIELLE","..","..","..","19","1,238","0.0136"
"ABRIL","..","..","..","..","..",".."
"ABRISH","..","..","..","..","..",".."
"ABSHIR","..","..","..","..","..",".."
"ABTIN","..","..","..","..","..",".."
"ABU","5","2,931","0.0033","..","..",".."
"ABUBAKAR","9","1,963","0.0060","..","..",".."
"ABUBAKR","9","1,963","0.0060","..","..",".."
"ABUK","..","..","..","..","..",".."
"ABY","..","..","..","11","1,860","0.0079"
"ABYAN","..","..","..","..","..",".."
"ABYGAEL","..","..","..","14","1,551","0.0100"
"ABYGAELLE","..","..","..","34","791","0.0243"
"ABY-GAELLE","..","..","..","..","..",".."
"ABYGAIL","..","..","..","9","2,160","0.0064"
"ABYGALE","..","..","..","..","..",".."
"ACACIA","..","..","..","14","1,551","0.0100"
"ACADIA","..","..","..","6","2,824","0.0043"
"ACCALIA","..","..","..","..","..",".."
"ACE","97","314","0.0642","..","..",".."
"ACELYN","..","..","..","..","..",".."
"ACELYNN","..","..","..","..","..",".."
"ACESON","..","..","..","..","..",".."
"ACEYN","..","..","..","..","..",".."
"ACHILLE","10","1,815","0.0066","..","..",".."
"ACHILLES","15","1,355","0.0099","..","..",".."
"ACHOL","..","..","..","..","..",".."
"ACHRAF","..","..","..","..","..",".."
"ADA","..","..","..","153","165","0.1095"
"ADAB","14","1,430","0.0093","13","1,645","0.0093"
"ADAEZE","..","..","..","..","..",".."
"ADAH","..","..","..","6","2,824","0.0043"
"ADALEE","..","..","..","9","2,160","0.0064"
"ADALEIGH","..","..","..","..","..",".."
"ADALIA","..","..","..","13","1,645","0.0093"
"ADALIE","..","..","..","16","1,398","0.0114"
"ADALINA","..","..","..","..","..",".."
"ADALIND","..","..","..","..","..",".."
"ADALINE","..","..","..","132","209","0.0944"
"ADALYN","..","..","..","67","427","0.0479"
"ADALYNE","..","..","..","8","2,326","0.0057"
"ADALYNN","..","..","..","102","288","0.0730"
"ADALYNNE","..","..","..","..","..",".."
"ADAM","969","15","0.6415","..","..",".."
"ADAMA","..","..","..","7","2,557","0.0050"
"ADAMIE","..","..","..","..","..",".."
"ADAMO","13","1,505","0.0086","..","..",".."
"ADAMS","..","..","..","..","..",".."
"ADAN","5","2,931","0.0033","..","..",".."
"ADANNA","..","..","..","5","3,197","0.0036"
"ADARA","..","..","..","8","2,326","0.0057"
"ADARSH","..","..","..","..","..",".."
"ADAYA","..","..","..","5","3,197","0.0036"
"ADDALYN","..","..","..","8","2,326","0.0057"
"ADDALYNN","..","..","..","..","..",".."
"ADDELYN","..","..","..","..","..",".."
"ADDELYNN","..","..","..","..","..",".."
"ADDI","..","..","..","..","..",".."
"ADDIE","..","..","..","11","1,860","0.0079"
"ADDILYN","..","..","..","21","1,136","0.0150"
"ADDILYNN","..","..","..","..","..",".."
"ADDISEN","..","..","..","..","..",".."
"ADDISON","10","1,815","0.0066","283","83","0.2025"
"ADDISYN","..","..","..","7","2,557","0.0050"
"ADDLEY","..","..","..","..","..",".."
"ADDY","..","..","..","5","3,197","0.0036"
"ADDYSEN","..","..","..","..","..",".."
"ADDYSON","..","..","..","8","2,326","0.0057"
"ADE","..","..","..","..","..",".."
"ADEEB","..","..","..","..","..",".."
"ADEEL","..","..","..","..","..",".."
"ADEENA","..","..","..","5","3,197","0.0036"
"ADEL","9","1,963","0.0060","5","3,197","0.0036"
"ADELA","..","..","..","16","1,398","0.0114"
"ADELAIDE","..","..","..","120","232","0.0859"
"ADELAINE","..","..","..","5","3,197","0.0036"
"ADELE","..","..","..","226","110","0.1617"
"ADELEINE","..","..","..","..","..",".."
"ADELENE","..","..","..","..","..",".."
"ADELIA","..","..","..","21","1,136","0.0150"
"ADELIE","..","..","..","50","566","0.0358"
"ADELINA","..","..","..","40","683","0.0286"
"ADELINE","..","..","..","220","113","0.1574"
"ADELLA","..","..","..","5","3,197","0.0036"
"ADELLE","..","..","..","..","..",".."
"ADELYA","..","..","..","..","..",".."
"ADELYN","..","..","..","81","357","0.0580"
"ADELYNE","..","..","..","9","2,160","0.0064"
"ADELYNN","..","..","..","41","669","0.0293"
"ADELYNNE","..","..","..","..","..",".."
"ADEM","11","1,696","0.0073","..","..",".."
"ADEMIDE","..","..","..","..","..",".."
"ADEN","28","860","0.0185","..","..",".."
"ADENA","..","..","..","..","..",".."
"ADERINSOLA","..","..","..","..","..",".."
"ADESH","..","..","..","..","..",".."
"ADESSA","..","..","..","..","..",".."
"ADHAM","6","2,614","0.0040","..","..",".."
"ADHARV","..","..","..","..","..",".."
"ADHAVAN","..","..","..","..","..",".."
"ADHIRA","..","..","..","5","3,197","0.0036"
"ADHIRAJ","..","..","..","..","..",".."
"ADHIRAN","..","..","..","..","..",".."
"ADHRIT","8","2,136","0.0053","..","..",".."
"ADHVIK","6","2,614","0.0040","..","..",".."
"ADHYA","..","..","..","10","1,992","0.0072"
"ADI","..","..","..","..","..",".."
"ADIA","..","..","..","6","2,824","0.0043"
"ADIAN","..","..","..","..","..",".."
"ADIB","5","2,931","0.0033","..","..",".."
"ADIBA","..","..","..","..","..",".."
"ADIEL","..","..","..","..","..",".."
"ADIL","8","2,136","0.0053","..","..",".."
"ADILA","..","..","..","..","..",".."
"ADILYN","..","..","..","..","..",".."
"ADILYNN","..","..","..","..","..",".."
"ADIN","5","2,931","0.0033","..","..",".."
"ADINA","..","..","..","24","1,025","0.0172"
"ADIRA","..","..","..","13","1,645","0.0093"
"ADISON","..","..","..","..","..",".."
"ADISYN","..","..","..","..","..",".."
"ADITHI","..","..","..","..","..",".."
"ADITHYA","..","..","..","..","..",".."
"ADITI","..","..","..","16","1,398","0.0114"
"ADITRI","..","..","..","..","..",".."
"ADITYA","24","982","0.0159","..","..",".."
"ADIVA","..","..","..","..","..",".."
"ADJA","..","..","..","8","2,326","0.0057"
"ADLEE","..","..","..","..","..",".."
"ADLEIGH","..","..","..","..","..",".."
"ADLER","15","1,355","0.0099","..","..",".."
"ADLEY","..","..","..","28","912","0.0200"
"ADLYN","..","..","..","..","..",".."
"ADNA","..","..","..","..","..",".."
"ADNAN","26","911","0.0172","..","..",".."
"ADNANE","..","..","..","..","..",".."
"ADON","..","..","..","..","..",".."
"ADONAI","6","2,614","0.0040","..","..",".."
"ADONAY","8","2,136","0.0053","..","..",".."
"ADONIJAH","..","..","..","..","..",".."
"ADONIS","59","479","0.0391","..","..",".."
"ADORA","..","..","..","15","1,473","0.0107"
"ADREANNA","..","..","..","..","..",".."
"ADRIA","..","..","..","14","1,551","0.0100"
"ADRIAN","261","119","0.1728","..","..",".."
"ADRIANA","..","..","..","72","404","0.0515"
"ADRIANE","..","..","..","..","..",".."
"ADRIANNA","..","..","..","32","830","0.0229"
"ADRIANNE","..","..","..","..","..",".."
"ADRIANO","48","568","0.0318","..","..",".."
"ADRIEL","68","425","0.0450","6","2,824","0.0043"
"ADRIELLE","..","..","..","13","1,645","0.0093"
"ADRIEN","127","250","0.0841","..","..",".."
"ADRIENNE","..","..","..","16","1,398","0.0114"
"ADRIJA","..","..","..","..","..",".."
"ADRIJANA","..","..","..","5","3,197","0.0036"
"ADRIN","..","..","..","..","..",".."
"ADRINA","..","..","..","..","..",".."
"ADRYAN","..","..","..","..","..",".."
"ADVAIT","18","1,198","0.0119","..","..",".."
"ADVAITA","..","..","..","..","..",".."
"ADVAITH","14","1,430","0.0093","..","..",".."
"ADVAY","..","..","..","..","..",".."
"ADVIK","25","947","0.0166","..","..",".."
"ADVIKA","..","..","..","10","1,992","0.0072"
"ADVIT","6","2,614","0.0040","..","..",".."
"ADYA","..","..","..","8","2,326","0.0057"
"ADYAN","..","..","..","..","..",".."
"ADYN","..","..","..","..","..",".."
"ADYSEN","..","..","..","..","..",".."
"ADYSON","..","..","..","..","..",".."
"AEDAN","5","2,931","0.0033","..","..",".."
"AEDEN","..","..","..","..","..",".."
"AELA","..","..","..","8","2,326","0.0057"
"AELIA","..","..","..","..","..",".."
"AELLA","..","..","..","5","3,197","0.0036"
"AENGUS","..","..","..","..","..",".."
"AERIN","..","..","..","..","..",".."
"AERIS","..","..","..","8","2,326","0.0057"
"AERITH","..","..","..","7","2,557","0.0050"
"AERON","..","..","..","..","..",".."
"AERYN","..","..","..","..","..",".."
"AESHA","..","..","..","..","..",".."
"AESON","5","2,931","0.0033","..","..",".."
"AETHAN","..","..","..","..","..",".."
"AEVA","..","..","..","..","..",".."
"AFFAN","13","1,505","0.0086","..","..",".."
"AFIA","..","..","..","..","..",".."
"AFIFA","..","..","..","..","..",".."
"AFIYA","..","..","..","..","..",".."
"AFIYAH","..","..","..","5","3,197","0.0036"
"AFNAN","..","..","..","11","1,860","0.0079"
"AFNANE","..","..","..","..","..",".."
"AFONSO","..","..","..","..","..",".."
"AFRA","..","..","..","5","3,197","0.0036"
"AFRAH","..","..","..","..","..",".."
"AFRAZ","..","..","..","..","..",".."
"AFREEN","..","..","..","..","..",".."
"AFSA","..","..","..","..","..",".."
"AFSHEEN","..","..","..","..","..",".."
"AFTON","..","..","..","..","..",".."
"AGAM","87","347","0.0576","..","..",".."
"AGAMBIR","10","1,815","0.0066","..","..",".."
"AGAMDEEP","7","2,348","0.0046","..","..",".."
"AGAMJOT","19","1,158","0.0126","..","..",".."
"AGAMPREET","10","1,815","0.0066","..","..",".."
"AGAMVEER","30","820","0.0199","..","..",".."
"AGAMVIR","16","1,299","0.0106","..","..",".."
"AGANETHA","..","..","..","..","..",".."
"AGASTYA","54","508","0.0357","..","..",".."
"AGATA","..","..","..","7","2,557","0.0050"
"AGATHA","..","..","..","32","830","0.0229"
"AGATHE","..","..","..","92","323","0.0658"
"AGHILES","..","..","..","..","..",".."
"AGLAE","..","..","..","..","..",".."
"AGNES","..","..","..","29","889","0.0207"
"AGNIESZKA","..","..","..","..","..",".."
"AGOSTINO","..","..","..","..","..",".."
"AGUSTIN","7","2,348","0.0046","..","..",".."
"AGUSTINA","..","..","..","..","..",".."
"AHAAN","25","947","0.0166","..","..",".."
"AHAANA","..","..","..","10","1,992","0.0072"
"AHAD","14","1,430","0.0093","..","..",".."
"AHAN","..","..","..","..","..",".."
"AHANA","..","..","..","29","889","0.0207"
"AHARAN","..","..","..","..","..",".."
"AHARON","..","..","..","..","..",".."
"AHIL","7","2,348","0.0046","..","..",".."
"AHLAM","..","..","..","7","2,557","0.0050"
"AHMAD","98","313","0.0649","..","..",".."
"AHMADOU","..","..","..","..","..",".."
"AHMED","140","229","0.0927","..","..",".."
"AHMER","..","..","..","..","..",".."
"AHMET","5","2,931","0.0033","..","..",".."
"AHNA","..","..","..","..","..",".."
"AHNAF","..","..","..","..","..",".."
"AHOU","..","..","..","..","..",".."
"AHREN","..","..","..","..","..",".."
"AHRON","..","..","..","..","..",".."
"AHSAN","..","..","..","..","..",".."
"AHSLEY","..","..","..","..","..",".."
"AHUVA","..","..","..","..","..",".."
"AHYAAN","..","..","..","..","..",".."
"AHYAN","..","..","..","..","..",".."
"AI","..","..","..","..","..",".."
"AICHA","..","..","..","41","669","0.0293"
"AIDA","..","..","..","29","889","0.0207"
"AIDAN","105","300","0.0695","..","..",".."
"AIDEN","514","40","0.3403","..","..",".."
"AIDIN","..","..","..","..","..",".."
"AIDON","..","..","..","..","..",".."
"AIDRIC","..","..","..","..","..",".."
"AIDYN","7","2,348","0.0046","..","..",".."
"AIESHA","..","..","..","..","..",".."
"AIKA","..","..","..","..","..",".."
"AIKAM","7","2,348","0.0046","..","..",".."
"AIKAMJOT","..","..","..","..","..",".."
"AIKEN","..","..","..","..","..",".."
"AIKO","..","..","..","7","2,557","0.0050"
"AILA","..","..","..","38","720","0.0272"
"AILANI","..","..","..","6","2,824","0.0043"
"AILEE","..","..","..","..","..",".."
"AILEEN","..","..","..","13","1,645","0.0093"
"AILEY","..","..","..","..","..",".."
"AILI","..","..","..","5","3,197","0.0036"
"AILIE","..","..","..","..","..",".."
"AILIS","..","..","..","..","..",".."
"AILISH","..","..","..","..","..",".."
"AILSA","..","..","..","..","..",".."
"AILY","..","..","..","..","..",".."
"AILYN","..","..","..","..","..",".."
"AIMA","..","..","..","6","2,824","0.0043"
"AIMAN","..","..","..","9","2,160","0.0064"
"AIME","..","..","..","..","..",".."
"AIMEE","..","..","..","38","720","0.0272"
"AIMEN","..","..","..","..","..",".."
"AIMIE","..","..","..","..","..",".."
"AIMY","..","..","..","..","..",".."
"AINA","..","..","..","13","1,645","0.0093"
"AINE","..","..","..","6","2,824","0.0043"
"AINHOA","..","..","..","5","3,197","0.0036"
"AINSLEE","..","..","..","..","..",".."
"AINSLEIGH","..","..","..","..","..",".."
"AINSLEY","..","..","..","59","487","0.0422"
"AINSLIE","..","..","..","6","2,824","0.0043"
"AIRA","..","..","..","49","580","0.0351"
"AIRAH","..","..","..","5","3,197","0.0036"
"AIRI","..","..","..","..","..",".."
"AIRIANNA","..","..","..","..","..",".."
"AIRLIE","..","..","..","..","..",".."
"AISHA","..","..","..","138","197","0.0987"
"AISHAH","..","..","..","..","..",".."
"AISHANI","..","..","..","..","..",".."
"AISHI","..","..","..","..","..",".."
"AISHLEEN","..","..","..","..","..",".."
"AISHMEEN","..","..","..","..","..",".."
"AISHWARYA","..","..","..","..","..",".."
"AISLA","..","..","..","..","..",".."
"AISLEY","..","..","..","..","..",".."
"AISLIN","..","..","..","..","..",".."
"AISLING","..","..","..","..","..",".."
"AISLINN","..","..","..","..","..",".."
"AISLYN","..","..","..","7","2,557","0.0050"
"AISLYNN","..","..","..","..","..",".."
"AISOSA","..","..","..","..","..",".."
"AISSATA","..","..","..","..","..",".."
"AISSATOU","..","..","..","17","1,348","0.0122"
"AITANA","..","..","..","16","1,398","0.0114"
"AIVA","..","..","..","..","..",".."
"AIYA","..","..","..","6","2,824","0.0043"
"AIYAN","..","..","..","..","..",".."
"AIYANA","..","..","..","20","1,190","0.0143"
"AIYANNA","..","..","..","5","3,197","0.0036"
"AIYLA","..","..","..","11","1,860","0.0079"
"AIZA","..","..","..","29","889","0.0207"
"AIZAH","..","..","..","10","1,992","0.0072"
"AIZEL","..","..","..","12","1,739","0.0086"
"AIZEN","13","1,505","0.0086","..","..",".."
"AJ","7","2,348","0.0046","..","..",".."
"AJA","..","..","..","..","..",".."
"AJAN","..","..","..","..","..",".."
"AJANI","..","..","..","..","..",".."
"AJANTH","..","..","..","..","..",".."
"AJANTHAN","..","..","..","..","..",".."
"AJAX","9","1,963","0.0060","..","..",".."
"AJAY","8","2,136","0.0053","..","..",".."
"AJAYPAL","..","..","..","..","..",".."
"AJEESH","..","..","..","..","..",".."
"AJEET","22","1,048","0.0146","..","..",".."
"AJESH","..","..","..","..","..",".."
"AJIT","20","1,117","0.0132","..","..",".."
"AJLA","..","..","..","7","2,557","0.0050"
"AJOONI","..","..","..","93","319","0.0665"
"AJUNI","..","..","..","13","1,645","0.0093"
"AJWA","..","..","..","..","..",".."
"AKAAL","11","1,696","0.0073","..","..",".."
"AKAASH","..","..","..","..","..",".."
"AKAL","..","..","..","..","..",".."
"AKAM","..","..","..","..","..",".."
"AKARAN","..","..","..","..","..",".."
"AKARI","..","..","..","6","2,824","0.0043"
"AKASH","5","2,931","0.0033","..","..",".."
"AKASHA","..","..","..","..","..",".."
"AKASHDEEP","..","..","..","..","..",".."
"AKAYLA","..","..","..","..","..",".."
"AKBAR","..","..","..","..","..",".."
"AKEELAH","..","..","..","..","..",".."
"AKEEM","6","2,614","0.0040","..","..",".."
"AKELA","..","..","..","..","..",".."
"AKEMI","..","..","..","..","..",".."
"AKHIL","6","2,614","0.0040","..","..",".."
"AKI","..","..","..","..","..",".."
"AKIL","..","..","..","..","..",".."
"AKILAH","..","..","..","..","..",".."
"AKIM","7","2,348","0.0046","..","..",".."
"AKINA","..","..","..","..","..",".."
"AKIO","5","2,931","0.0033","..","..",".."
"AKIRA","..","..","..","29","889","0.0207"
"AKIVA","..","..","..","..","..",".."
"AKMAL","..","..","..","..","..",".."
"AKOSUA","..","..","..","..","..",".."
"AKRAM","22","1,048","0.0146","..","..",".."
"AKSEL","35","725","0.0232","..","..",".."
"AKSHA","..","..","..","..","..",".."
"AKSHAJ","..","..","..","..","..",".."
"AKSHAN","..","..","..","..","..",".."
"AKSHANA","..","..","..","..","..",".."
"AKSHAR","11","1,696","0.0073","..","..",".."
"AKSHARA","..","..","..","17","1,348","0.0122"
"AKSHARAN","..","..","..","..","..",".."
"AKSHAT","7","2,348","0.0046","..","..",".."
"AKSHAY","..","..","..","..","..",".."
"AKSHAYA","..","..","..","7","2,557","0.0050"
"AKSHAYAN","5","2,931","0.0033","..","..",".."
"AKSIL","9","1,963","0.0060","..","..",".."
